	verdict	intersection
0	198340.json	['433', '443', '710', '930', '977', '980', '1001', '1058', '1213', '1315']
1	198341.json	['362', '433', '500', '530', '843', '886']
2	198342.json	['5', '252', '317', '330', '339', '549', '570', '738', '777', '822', '839', '920', '1278']
3	198343.json	['44', '336', '430', '433', '500', '507', '530', '695', '743', '757', '796', '886', '1059', '1234', '1350']
4	198631.json	['37', '112', '121', '126', '203', '214', '224', '236', '345', '361', '437', '454', '489', '502', '545', '603', '610', '625', '637', '691', '698', '795', '836', '859', '874', '958', '993', '1000', '1026', '1046', '1065', '1126', '1136', '1159', '1161', '1173', '1200', '1220', '1246', '1338', '1367', '1376']
5	198632.json	['15', '408', '494', '610', '788', '1046', '1056', '1065', '1158']
6	198633.json	['89', '111', '203', '214', '224', '319', '454', '477', '489', '502', '545', '698', '708', '752', '791', '795', '836', '862', '874', '879', '958', '1026', '1065', '1078', '1097', '1102', '1126', '1132', '1136', '1143', '1153', '1159', '1161', '1173', '1180', '1200', '1220', '1232', '1246', '1335', '1338', '1356', '1366', '1367', '1376']
7	198634.json	['26', '286', '362', '743', '796', '886']
8	198635.json	['18', '241', '398', '530', '591', '629', '705', '797', '833', '870', '943', '952', '979', '1082', '1221', '1277']
9	198636.json	['48', '86', '241', '518', '591', '742', '797', '946', '983', '996', '1277']
10	198637.json	['6', '92', '155', '271', '429', '616', '641', '680', '733', '1093', '1119', '1179']
11	198638.json	['37', '112', '121', '126', '214', '224', '236', '248', '345', '361', '437', '454', '463', '489', '502', '545', '603', '610', '625', '637', '691', '698', '767', '836', '859', '874', '958', '993', '1000', '1026', '1046', '1065', '1126', '1136', '1154', '1159', '1161', '1200', '1220', '1246', '1338', '1367', '1376']
12	198639.json	['433', '843', '918', '1213']
13	198640.json	['14', '15', '236', '497', '610', '694', '704', '859', '893', '953', '964', '1046', '1056', '1158']
14	198641.json	['478', '1119']
15	198642.json	['286', '295', '362', '433', '465', '500', '886', '933', '1311']
16	198643.json	['18', '48', '73', '591', '639', '724', '741', '797', '871', '979', '1197', '1277', '1375']
17	198644.json	['111', '269', '291', '925', '1035', '1078']
18	198645.json	['48', '79', '92', '154', '155', '232', '241', '264', '367', '411', '447', '510', '514', '543', '641', '662', '702', '705', '733', '770', '818', '946', '952', '983', '991', '1007', '1093', '1096', '1155']
19	198646.json	['48', '241', '797', '940', '979', '996', '1197', '1221', '1226', '1277']
20	198647.json	['6', '44', '48', '243', '256', '428', '430', '478', '507', '550', '620', '779', '938', '979', '1058', '1082', '1179']
21	198648.json	['146', '291', '319', '341', '399', '475', '502', '545', '696', '744', '752', '791', '836', '862', '879', '958', '1011', '1035', '1078', '1097', '1120', '1132', '1136', '1143', '1149', '1159', '1180', '1200', '1220', '1232', '1335', '1338', '1356', '1366', '1367']
22	198649.json	['37', '165', '236', '248', '266', '279', '325', '345', '361', '400', '408', '470', '603', '610', '625', '635', '637', '653', '691', '704', '767', '788', '806', '859', '958', '1000', '1026', '1046', '1056', '1065', '1146', '1158', '1159', '1161', '1196']
23	198650.json	['48', '154', '398', '510', '591', '639', '705', '770', '797', '818', '850', '979', '983', '1082', '1109', '1155', '1277']
24	198651.json	['19', '167', '228', '242', '341', '358', '399', '484', '488', '586', '607', '744', '768', '858', '862', '959', '1035', '1097', '1128', '1160', '1180', '1322', '1356']
25	198652.json	['14', '15', '616', '641', '663', '680', '1119']
26	198653.json	['15', '147', '403', '417', '438', '494', '602', '616', '714', '906', '953', '964', '1056', '1156', '1158', '1167', '1262', '1377']
27	198654.json	['235', '276', '429', '530', '695', '843', '886', '1085']
28	198655.json	['44', '80', '328', '456', '526', '554', '794', '948', '1281', '1302', '1305']
29	198656.json	['19', '398', '428', '530', '666', '705', '833', '938', '1058', '1082']
30	198657.json	['73', '86', '109', '524', '736', '1181', '1248']
31	198658.json	['178', '430', '433', '500', '785', '843', '886', '1059', '1234']
32	198660.json	['48', '241', '367', '398', '530', '591', '629', '662', '666', '702', '705', '770', '797', '979', '1007', '1082', '1277']
33	198662.json	['85', '380', '442', '825', '997', '1117', '1293']
34	198663.json	['14', '15', '92', '155', '196', '199', '497', '510', '641', '680', '733', '953', '1007', '1093', '1119', '1181', '1262', '1319']
35	198664.json	['44', '550', '789', '1226', '1350']
36	198665.json	['12', '37', '83', '248', '284', '345', '349', '365', '415', '434', '470', '473', '486', '506', '610', '625', '634', '647', '664', '676', '727', '730', '816', '859', '878', '882', '917', '1000', '1003', '1051', '1054', '1146', '1162', '1194', '1201', '1218', '1258', '1352']
37	198666.json	['15', '32', '74', '158', '333', '403', '448', '451', '494', '537', '616', '626', '641', '663', '680', '714', '818', '953', '964', '1018', '1113', '1156', '1165', '1167', '1262', '1344', '1377']
38	198667.json	['92', '241', '313', '398', '411', '431', '666', '705', '850', '948', '988', '1050', '1082', '1109', '1141']
39	198668.json	['15', '147', '196', '451', '497', '616', '789', '810', '882', '953', '964', '1156', '1158', '1310', '1377']
40	198669.json	['14', '147', '199', '448', '451', '497', '641', '663', '789', '885', '964', '1056', '1119', '1156', '1158', '1310', '1377']
41	198671.json	['37', '236', '266', '279', '284', '345', '349', '400', '417', '470', '489', '494', '541', '542', '577', '594', '610', '637', '767', '788', '857', '859', '906', '1000', '1046', '1054', '1056', '1065', '1158', '1162', '1167', '1286']
42	198672.json	['18', '205', '251', '267', '364', '457', '458', '481', '725', '760', '797', '825', '979', '990', '995', '997', '1015', '1184', '1187', '1221', '1332']
43	198673.json	['146', '147', '158', '489', '616', '698', '708', '795', '879', '958', '1078', '1132', '1159', '1180', '1232', '1252', '1338']
44	198674.json	['105', '116', '195', '267', '405', '432', '457', '518', '675', '740', '943', '1004', '1005', '1289']
45	198675.json	['92', '154', '241', '398', '431', '591', '702', '705', '797', '850', '979', '1007', '1082', '1109', '1348']
46	198676.json	['74', '146', '236', '361', '448', '489', '610', '616', '708', '885', '906', '953', '964', '1026', '1056', '1158', '1262', '1338']
47	198677.json	['73', '86', '92', '154', '241', '398', '411', '431', '524', '543', '591', '797', '850', '1049', '1109', '1135', '1141', '1181', '1375']
48	198678.json	['74', '228', '254', '293', '341', '448', '475', '586', '607', '708', '723', '752', '791', '862', '879', '958', '959', '1035', '1063', '1132', '1144', '1165', '1180', '1336', '1338', '1356', '1366', '1377']
